ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
347,simple,1,tee1 summers,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,1,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/1.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
348,simple,2,tee100 summers,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,390,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/10.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
349,simple,3,tee101 summers,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,390,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/11.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
350,simple,4,tee102 summers,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,390,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/12.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
351,simple,5,tee103 summers,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,150,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/13.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
352,simple,6,tee104 summers,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,150,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/14.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
353,simple,7,tee105 summers,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,150,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/15.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
354,simple,8,tee106 summers,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,150,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/16.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
355,simple,9,tee107 summers,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,150,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/17.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
356,simple,10,tee108 summers,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,150,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/18.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
357,simple,11,tee109 sping,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,150,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/19.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
358,simple,12,tee110 sping,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,150,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/20.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
359,simple,13,tee111 sping,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,390,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/21.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
360,simple,14,tee112 sping,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,390,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/22.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
361,simple,15,tee113 sping,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,275,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/23.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
362,simple,16,tee114 sping,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,275,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/10.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
363,simple,17,tee115 sping,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,275,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/11.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
364,simple,18,tee116 sping,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,275,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/12.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
365,simple,19,tee117 winter,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,275,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/13.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
366,simple,20,tee118 winter,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,275,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/14.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
367,simple,21,tee119 winter,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,275,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/15.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
368,simple,22,tee120 winter,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,275,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/16.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
369,simple,23,tee121 winter,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,275,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/17.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
370,simple,24,tee122 winter,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,275,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/18.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
371,simple,25,tee123 winter,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,155,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/19.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
372,simple,26,tee124 winter,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,155,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/21.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
373,simple,27,tee125 winter,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,155,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/7.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
374,simple,28,tee126 winter,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,155,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/8.1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
375,simple,29,jacket100 summers,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,155,Jacket,,,https://localhost/TMDT/wp-content/uploads/2022/11/jk1.jpg,,,,,,,,,0,Size,"Large, Medium",1,1
